MINOSthresh TimeBinElec Tshaping
25.0 20.0 333.0
HeaderFile DelayTrig StopT VDrift
psp140038 1320.0 7924.0 0.04543
psp140040 1320.0 7914.0 0.04550
psp140041 1320.0 7990.0 0.04498
psp140042 1320.0 7975.0 0.04508
psp140043 1320.0 7972.0 0.04510
psp140044 1320.0 7975.0 0.04508
psp140045 1320.0 7970.0 0.04511
psp140046 1320.0 7966.0 0.04514
psp140047 1320.0 7980.0 0.04505
psp140048 1320.0 7847.0 0.04596
psp140049 1320.0 7630.0 0.04754
psp140050 1320.0 7706.0 0.04698
psp140051 1320.0 7902.0 0.04558
psp140052 1320.0 7968.0 0.04513
psp140053 1320.0 7999.0 0.04492
psp140054 1320.0 8004.0 0.04488
psp140055 1320.0 8008.0 0.04486
psp140056 1320.0 8007.0 0.04486
psp140057 1320.0 8000.0 0.04491
psp140058 1320.0 8006.0 0.04487
psp140059 1320.0 8006.0 0.04487
psp140060 1320.0 8000.0 0.04491
psp140061 1320.0 7988.0 0.04499
psp140062 1320.0 7979.0 0.04505
psp140063 1320.0 7969.0 0.04512
psp140064 1320.0 7974.0 0.04509
psp140065 1320.0 7971.0 0.04511
psp140066 1320.0 7963.0 0.04516
psp140067 1320.0 7956.0 0.04521
psp140068 1320.0 7942.0 0.04530
psp140069 1320.0 7938.0 0.04533
