MINOSthresh TimeBinElec Tshaping
25.0 20.0 333.0
HeaderFile DelayTrig StopT VDrift
psp140208 1320.0 8011.0 0.04484
psp140209 1320.0 8013.0 0.04482
psp140210 1320.0 7993.0 0.04496
psp140211 1320.0 7997.0 0.04493
psp140212 1320.0 7992.0 0.04496
psp140213 1320.0 8002.0 0.04490
psp140214 1320.0 8000.0 0.04491
psp140215 1320.0 7998.0 0.04492
psp140216 1320.0 7991.0 0.04497
psp140217 1320.0 7999.0 0.04492
psp140218 1320.0 8011.0 0.04484
psp140219 1320.0 7993.0 0.04496
psp140220 1320.0 8002.0 0.04490
psp140221 1320.0 7995.0 0.04494
psp140222 1320.0 8002.0 0.04490
psp140224 1320.0 8009.0 0.04485
psp140225 1320.0 8009.0 0.04485
psp140226 1320.0 7997.0 0.04493
psp140228 1320.0 8004.0 0.04488
psp140229 1320.0 8009.0 0.04485
psp140230 1320.0 8001.0 0.04490
psp140231 1320.0 8000.0 0.04491
psp140234 1320.0 7986.0 0.04500
psp140235 1320.0 7991.0 0.04497
psp140236 1320.0 7991.0 0.04497
psp140237 1320.0 7988.0 0.04499
psp140238 1320.0 7977.0 0.04507
psp140239 1320.0 7989.0 0.04498
psp140240 1320.0 7989.0 0.04498
psp140241 1320.0 7998.0 0.04492
psp140242 1320.0 7993.0 0.04496
psp140243 1320.0 8001.0 0.04490
psp140244 1320.0 7992.0 0.04496
psp140245 1320.0 7983.0 0.04502
psp140246 1320.0 7986.0 0.04500
psp140247 1320.0 8003.0 0.04489
psp140248 1320.0 7994.0 0.04495
psp140249 1320.0 7996.0 0.04494
psp140250 1320.0 8001.0 0.04490
psp140251 1320.0 7994.0 0.04495
psp140252 1320.0 7990.0 0.04498
psp140253 1320.0 8021.0 0.04477
psp140254 1320.0 7999.0 0.04492
psp140255 1320.0 7995.0 0.04494
psp140256 1320.0 8007.0 0.04486
psp140257 1320.0 7989.0 0.04498
psp140258 1320.0 7988.0 0.04499
psp140259 1320.0 7981.0 0.04504
psp140262 1320.0 7990.0 0.04498
psp140263 1320.0 7983.0 0.04502
psp140264 1320.0 7997.0 0.04493
psp140265 1320.0 7980.0 0.04505
psp140266 1320.0 7999.0 0.04492
psp140267 1320.0 7980.0 0.04505
psp140268 1320.0 8007.0 0.04486
psp140269 1320.0 7984.0 0.04502
psp140270 1320.0 7998.0 0.04492
psp140271 1320.0 7990.0 0.04498
psp140272 1320.0 7993.0 0.04496
psp140273 1320.0 7994.0 0.04495
psp140274 1320.0 7978.0 0.04506
psp140275 1320.0 7975.0 0.04508
psp140276 1320.0 7977.0 0.04507
psp140277 1320.0 7964.0 0.04515
psp140278 1320.0 7954.0 0.04522
psp140279 1320.0 7961.0 0.04517
psp140281 1320.0 7969.0 0.04512
psp140282 1320.0 7954.0 0.04522
psp140283 1320.0 7941.0 0.04531
psp140284 1320.0 7941.0 0.04531
psp140285 1320.0 7934.0 0.04536
psp140290 1320.0 8279.0 0.04311
psp140291 1320.0 8346.0 0.04270
psp140293 1320.0 8071.0 0.04444
psp140294 1320.0 7949.0 0.04526
psp140295 1320.0 7940.0 0.04532
psp140296 1320.0 7904.0 0.04557
psp140297 1320.0 7908.0 0.04554
psp140298 1320.0 7877.0 0.04575
psp140299 1320.0 7860.0 0.04587
psp140300 1320.0 7867.0 0.04582
psp140301 1320.0 7913.0 0.04550
psp140302 1320.0 7943.0 0.04530
psp140303 1320.0 7968.0 0.04513
psp140304 1320.0 7951.0 0.04524
psp140305 1320.0 7944.0 0.04529
psp140306 1320.0 7973.0 0.04509
psp140308 1320.0 7952.0 0.04524
psp140310 1320.0 7959.0 0.04519
psp140311 1320.0 7970.0 0.04511
psp140312 1320.0 7957.0 0.04520
psp140313 1320.0 7970.0 0.04511
psp140314 1320.0 7916.0 0.04548
psp140315 1320.0 7863.0 0.04585
psp140316 1320.0 7851.0 0.04593
psp140317 1320.0 7861.0 0.04586
psp140318 1320.0 7853.0 0.04592
psp140319 1320.0 7849.0 0.04595
psp140320 1320.0 7858.0 0.04589
psp140321 1320.0 7851.0 0.04593
psp140322 1320.0 7833.0 0.04606
psp140323 1320.0 7839.0 0.04602
psp140324 1320.0 7841.0 0.04601
psp140325 1320.0 7830.0 0.04608
psp140326 1320.0 7827.0 0.04610
psp140327 1320.0 7836.0 0.04604
psp140328 1320.0 7819.0 0.04616
psp140329 1320.0 7830.0 0.04608
psp140330 1320.0 7823.0 0.04613
psp140331 1320.0 7822.0 0.04614
psp140332 1320.0 7840.0 0.04601
psp140333 1320.0 7817.0 0.04618
psp140334 1320.0 7826.0 0.04611
psp140335 1320.0 7817.0 0.04618
psp140336 1320.0 7832.0 0.04607
psp140337 1320.0 7826.0 0.04611
psp140338 1320.0 7807.0 0.04625
psp140339 1320.0 7800.0 0.04630
psp140340 1320.0 7803.0 0.04627
psp140341 1320.0 7806.0 0.04625
psp140342 1320.0 7808.0 0.04624
psp140343 1320.0 7798.0 0.04631
psp140344 1320.0 7808.0 0.04624
psp140345 1320.0 7789.0 0.04638
psp140346 1320.0 7802.0 0.04628
psp140347 1320.0 7803.0 0.04627
psp140348 1320.0 7796.0 0.04632
psp140349 1320.0 7807.0 0.04625
psp140350 1320.0 7796.0 0.04632
psp140351 1320.0 7790.0 0.04637
psp140352 1320.0 7804.0 0.04627
psp140353 1320.0 7814.0 0.04620
psp140354 1320.0 7823.0 0.04613
psp140355 1320.0 7827.0 0.04610
